"category_name","category_slug","source_html","source_canonical","page_title","page_slug","target_url","target_path","images_copied"
"Basic automation with CLI","basic-automation-with","Tham Khao 2\Basic automation with CLI\How to create a profile via CLI - Multilogin.html","https://multilogin.com/help/en_US/how-to-create-a-profile-via-cli","How to create a profile via CLI","how-to-create-a-profile-via-cl","https://saasverdict.com/guides/mlx-api-hub/basic-automation-with/how-to-create-a-profile-via-cl/","guides/mlx-api-hub/basic-automation-with/how-to-create-a-profile-via-cl/index.html","11"
"Basic automation with CLI","basic-automation-with","Tham Khao 2\Basic automation with CLI\How to enable 2FA (two-factor authentication) in CLI - Multilogin.html","https://multilogin.com/help/en_US/how-to-enable-2fa-in-cli","How to enable 2FA (two-factor authentication) in CLI","how-to-enable-2fa-two-factor-a","https://saasverdict.com/guides/mlx-api-hub/basic-automation-with/how-to-enable-2fa-two-factor-a/","guides/mlx-api-hub/basic-automation-with/how-to-enable-2fa-two-factor-a/index.html","18"
"Basic automation with CLI","basic-automation-with","Tham Khao 2\Basic automation with CLI\How to run CookieRobot in Multilogin CLI - Multilogin.html","https://multilogin.com/help/en_US/how-to-run-cookie-robot-in-cli","How to run CookieRobot in Multilogin CLI","how-to-run-cookierobot-in-mult","https://saasverdict.com/guides/mlx-api-hub/basic-automation-with/how-to-run-cookierobot-in-mult/","guides/mlx-api-hub/basic-automation-with/how-to-run-cookierobot-in-mult/index.html","14"
"Basic automation with CLI","basic-automation-with","Tham Khao 2\Basic automation with CLI\How to start working with CLI - Multilogin.html","https://multilogin.com/help/en_US/start-working-with-cli","How to start working with CLI","how-to-start-working-with-cli","https://saasverdict.com/guides/mlx-api-hub/basic-automation-with/how-to-start-working-with-cli/","guides/mlx-api-hub/basic-automation-with/how-to-start-working-with-cli/index.html","11"
"Basic automation with CLI","basic-automation-with","Tham Khao 2\Basic automation with CLI\How to use CLI as a team member - Multilogin.html","https://multilogin.com/help/en_US/how-to-use-cli-as-a-team-member","How to use CLI as a team member","how-to-use-cli-as-a-team-membe","https://saasverdict.com/guides/mlx-api-hub/basic-automation-with/how-to-use-cli-as-a-team-membe/","guides/mlx-api-hub/basic-automation-with/how-to-use-cli-as-a-team-membe/index.html","13"
"Basic automation with CLI","basic-automation-with","Tham Khao 2\Basic automation with CLI\How to use Script runner with Multilogin CLI - Multilogin.html","https://multilogin.com/help/en_US/script-runner-for-cli","How to use Script runner with Multilogin CLI","how-to-use-script-runner-with","https://saasverdict.com/guides/mlx-api-hub/basic-automation-with/how-to-use-script-runner-with/","guides/mlx-api-hub/basic-automation-with/how-to-use-script-runner-with/index.html","16"
"Basic automation with CLI","basic-automation-with","Tham Khao 2\Basic automation with CLI\Learn CLI command flags - Multilogin.html","https://multilogin.com/help/en_US/learn-cli-command-flags","Learn CLI command flags","learn-cli-command-flags","https://saasverdict.com/guides/mlx-api-hub/basic-automation-with/learn-cli-command-flags/","guides/mlx-api-hub/basic-automation-with/learn-cli-command-flags/index.html","11"
"Basic automation with CLI","basic-automation-with","Tham Khao 2\Basic automation with CLI\Learn CLI commands - Multilogin.html","https://multilogin.com/help/en_US/learn-cli-commands","Learn CLI commands","learn-cli-commands","https://saasverdict.com/guides/mlx-api-hub/basic-automation-with/learn-cli-commands/","guides/mlx-api-hub/basic-automation-with/learn-cli-commands/index.html","11"
"Basic automation with CLI","basic-automation-with","Tham Khao 2\Basic automation with CLI\What is CLI automation_ - Multilogin.html","https://multilogin.com/help/en_US/what-is-cli-automation","What is CLI automation?","what-is-cli-automation","https://saasverdict.com/guides/mlx-api-hub/basic-automation-with/what-is-cli-automation/","guides/mlx-api-hub/basic-automation-with/what-is-cli-automation/index.html","11"
"Custom Python scripts","custom-python-scripts","Tham Khao 2\Custom Python scripts\How to automate a login on a website - Multilogin.html","https://multilogin.com/help/en_US/automate-website-login","How to automate a login on a website","how-to-automate-a-login-on-a-w","https://saasverdict.com/guides/mlx-api-hub/custom-python-scripts/how-to-automate-a-login-on-a-w/","guides/mlx-api-hub/custom-python-scripts/how-to-automate-a-login-on-a-w/index.html","13"
"Custom Python scripts","custom-python-scripts","Tham Khao 2\Custom Python scripts\How to create preset profile templates with Python - Multilogin.html","https://multilogin.com/help/en_US/script-to-create-pre-configured-profile-templates","How to create preset profile templates with Python","how-to-create-preset-profile-t","https://saasverdict.com/guides/mlx-api-hub/custom-python-scripts/how-to-create-preset-profile-t/","guides/mlx-api-hub/custom-python-scripts/how-to-create-preset-profile-t/index.html","11"
